priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,create_in_d12b,notes
85,High,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Ankleshwar,Gujarat,,/material-location/hastelloy-c276-fittings-ankleshwar.html,Hastelloy C276 Fittings Supplier in Ankleshwar,Hastelloy C276 fittings supplier in Ankleshwar,RFQ-led material + grade + form + destination sourcing page,"Ankleshwar corrosion, heat and process-industry enquiry fit for nickel alloy fittings.",/materials/hastelloy-b-2-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
86,High,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Mumbai,Maharashtra,,/material-location/duplex-2205-plates-mumbai.html,Duplex 2205 Plates Supplier in Mumbai,Duplex 2205 plates supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,"Mumbai chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/duplex-2205-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
87,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Mumbai,Maharashtra,,/material-location/super-duplex-2507-pipes-mumbai.html,Super Duplex 2507 Pipes Supplier in Mumbai,Super Duplex 2507 pipes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,"Mumbai chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
88,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Vadodara,Gujarat,,/material-location/super-duplex-2507-flanges-vadodara.html,Super Duplex 2507 Flanges Supplier in Vadodara,Super Duplex 2507 flanges supplier in Vadodara,RFQ-led material + grade + form + destination sourcing page,"Vadodara chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
89,High,export_country,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,,UAE,/export-material/duplex-2205-pipes-uae.html,Duplex 2205 Pipes Supplier for UAE,Duplex 2205 pipes supplier for UAE,RFQ-led material + grade + form + destination sourcing page,"UAE chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/duplex-2205-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
90,High,export_country,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,,Saudi Arabia,/export-material/super-duplex-2507-flanges-saudi-arabia.html,Super Duplex 2507 Flanges Supplier for Saudi Arabia,Super Duplex 2507 flanges supplier for Saudi Arabia,RFQ-led material + grade + form + destination sourcing page,"Saudi Arabia chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
91,High,export_country,export-material,Nickel Alloys,Hastelloy C276,plates,,,Germany,/export-material/hastelloy-c276-plates-germany.html,Hastelloy C276 Plates Supplier for Germany,Hastelloy C276 plates supplier for Germany,RFQ-led material + grade + form + destination sourcing page,"Germany corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/hastelloy-b-2-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
92,High,export_country,export-material,Nickel Alloys,Inconel 625,plates,,,Saudi Arabia,/export-material/inconel-625-plates-saudi-arabia.html,Inconel 625 Plates Supplier for Saudi Arabia,Inconel 625 plates supplier for Saudi Arabia,RFQ-led material + grade + form + destination sourcing page,"Saudi Arabia corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/inconel-625-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
93,High,india_city,material-location,Nickel Alloys,Inconel 625,plates,Chennai,Tamil Nadu,,/material-location/inconel-625-plates-chennai.html,Inconel 625 Plates Supplier in Chennai,Inconel 625 plates supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,"Chennai corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/inconel-625-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
94,High,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Chennai,Tamil Nadu,,/material-location/inconel-718-round-bars-chennai.html,Inconel 718 Round Bars Supplier in Chennai,Inconel 718 round bars supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,"Chennai corrosion, heat and process-industry enquiry fit for nickel alloy round bars.",/materials/inconel-718-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
95,High,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Vadodara,Gujarat,,/material-location/hastelloy-c276-fittings-vadodara.html,Hastelloy C276 Fittings Supplier in Vadodara,Hastelloy C276 fittings supplier in Vadodara,RFQ-led material + grade + form + destination sourcing page,"Vadodara corrosion, heat and process-industry enquiry fit for nickel alloy fittings.",/materials/hastelloy-b-2-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
96,High,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Bharuch,Gujarat,,/material-location/duplex-2205-plates-bharuch.html,Duplex 2205 Plates Supplier in Bharuch,Duplex 2205 plates supplier in Bharuch,RFQ-led material + grade + form + destination sourcing page,"Bharuch chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/duplex-2205-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
97,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Vadodara,Gujarat,,/material-location/super-duplex-2507-pipes-vadodara.html,Super Duplex 2507 Pipes Supplier in Vadodara,Super Duplex 2507 pipes supplier in Vadodara,RFQ-led material + grade + form + destination sourcing page,"Vadodara chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
98,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Chennai,Tamil Nadu,,/material-location/super-duplex-2507-flanges-chennai.html,Super Duplex 2507 Flanges Supplier in Chennai,Super Duplex 2507 flanges supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,"Chennai chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
99,High,export_country,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,,Qatar,/export-material/duplex-2205-pipes-qatar.html,Duplex 2205 Pipes Supplier for Qatar,Duplex 2205 pipes supplier for Qatar,RFQ-led material + grade + form + destination sourcing page,"Qatar chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/duplex-2205-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
100,High,export_country,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,,Oman,/export-material/super-duplex-2507-flanges-oman.html,Super Duplex 2507 Flanges Supplier for Oman,Super Duplex 2507 flanges supplier for Oman,RFQ-led material + grade + form + destination sourcing page,"Oman chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
101,High,export_country,export-material,Nickel Alloys,Hastelloy C276,plates,,,UAE,/export-material/hastelloy-c276-plates-uae.html,Hastelloy C276 Plates Supplier for UAE,Hastelloy C276 plates supplier for UAE,RFQ-led material + grade + form + destination sourcing page,"UAE corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/hastelloy-b-2-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
102,High,export_country,export-material,Nickel Alloys,Inconel 625,plates,,,Qatar,/export-material/inconel-625-plates-qatar.html,Inconel 625 Plates Supplier for Qatar,Inconel 625 plates supplier for Qatar,RFQ-led material + grade + form + destination sourcing page,"Qatar corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/inconel-625-supplier-india.html,Low,96,/export-material.html; /export.html; /quotation.html,/export-material.html; /materials.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
103,High,india_city,material-location,Nickel Alloys,Inconel 625,plates,Hyderabad,Telangana,,/material-location/inconel-625-plates-hyderabad.html,Inconel 625 Plates Supplier in Hyderabad,Inconel 625 plates supplier in Hyderabad,RFQ-led material + grade + form + destination sourcing page,"Hyderabad corrosion, heat and process-industry enquiry fit for nickel alloy plates.",/materials/inconel-625-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
104,High,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Hyderabad,Telangana,,/material-location/inconel-718-round-bars-hyderabad.html,Inconel 718 Round Bars Supplier in Hyderabad,Inconel 718 round bars supplier in Hyderabad,RFQ-led material + grade + form + destination sourcing page,"Hyderabad corrosion, heat and process-industry enquiry fit for nickel alloy round bars.",/materials/inconel-718-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
105,High,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Hyderabad,Telangana,,/material-location/hastelloy-c276-fittings-hyderabad.html,Hastelloy C276 Fittings Supplier in Hyderabad,Hastelloy C276 fittings supplier in Hyderabad,RFQ-led material + grade + form + destination sourcing page,"Hyderabad corrosion, heat and process-industry enquiry fit for nickel alloy fittings.",/materials/hastelloy-b-2-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
106,High,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Jamnagar,Gujarat,,/material-location/duplex-2205-plates-jamnagar.html,Duplex 2205 Plates Supplier in Jamnagar,Duplex 2205 plates supplier in Jamnagar,RFQ-led material + grade + form + destination sourcing page,"Jamnagar chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/duplex-2205-supplier-india.html,Low,90,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
107,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Kakinada,Andhra Pradesh,,/material-location/super-duplex-2507-pipes-kakinada.html,Super Duplex 2507 Pipes Supplier in Kakinada,Super Duplex 2507 pipes supplier in Kakinada,RFQ-led material + grade + form + destination sourcing page,"Kakinada chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,90,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
108,High,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Bharuch,Gujarat,,/material-location/super-duplex-2507-flanges-bharuch.html,Super Duplex 2507 Flanges Supplier in Bharuch,Super Duplex 2507 flanges supplier in Bharuch,RFQ-led material + grade + form + destination sourcing page,"Bharuch chloride, marine, oil-gas, chemical or desalination sourcing fit.",/materials/super-duplex-2507-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
109,Medium,india_city,material-location,High Speed Steel,HSS M35,round bars,Pune,Maharashtra,,/material-location/hss-m35-round-bars-pune.html,HSS M35 Round Bars Supplier in Pune,HSS M35 round bars supplier in Pune,RFQ-led material + grade + form + destination sourcing page,"Pune tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
110,Medium,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Chennai,Tamil Nadu,,/material-location/hss-m42-tool-steel-bars-chennai.html,HSS M42 Tool Steel Bars Supplier in Chennai,HSS M42 tool steel bars supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,"Chennai tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
111,Medium,india_city,material-location,High Speed Steel,HSS M2,flats,Coimbatore,Tamil Nadu,,/material-location/hss-m2-flats-coimbatore.html,HSS M2 Flats Supplier in Coimbatore,HSS M2 flats supplier in Coimbatore,RFQ-led material + grade + form + destination sourcing page,"Coimbatore tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
112,Medium,india_city,material-location,Aluminium,Aluminium 6061,plates,Chennai,Tamil Nadu,,/material-location/aluminium-6061-plates-chennai.html,Aluminium 6061 Plates Supplier in Chennai,Aluminium 6061 plates supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai commercial metals enquiry fit where content depth remains practical.,/materials/aluminium-6061-supplier-india.html,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
113,Medium,india_city,material-location,High Speed Steel,HSS M35,round bars,Bengaluru,Karnataka,,/material-location/hss-m35-round-bars-bengaluru.html,HSS M35 Round Bars Supplier in Bengaluru,HSS M35 round bars supplier in Bengaluru,RFQ-led material + grade + form + destination sourcing page,"Bengaluru tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
114,Medium,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Pune,Maharashtra,,/material-location/hss-m42-tool-steel-bars-pune.html,HSS M42 Tool Steel Bars Supplier in Pune,HSS M42 tool steel bars supplier in Pune,RFQ-led material + grade + form + destination sourcing page,"Pune tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
115,Medium,india_city,material-location,Aluminium,Aluminium 6061,plates,Mumbai,Maharashtra,,/material-location/aluminium-6061-plates-mumbai.html,Aluminium 6061 Plates Supplier in Mumbai,Aluminium 6061 plates supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai commercial metals enquiry fit where content depth remains practical.,/materials/aluminium-6061-supplier-india.html,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
116,Medium,india_city,material-location,High Speed Steel,HSS M35,round bars,Chennai,Tamil Nadu,,/material-location/hss-m35-round-bars-chennai.html,HSS M35 Round Bars Supplier in Chennai,HSS M35 round bars supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,"Chennai tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
117,Medium,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Faridabad,Haryana,,/material-location/hss-m42-tool-steel-bars-faridabad.html,HSS M42 Tool Steel Bars Supplier in Faridabad,HSS M42 tool steel bars supplier in Faridabad,RFQ-led material + grade + form + destination sourcing page,"Faridabad tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
118,Medium,india_city,material-location,High Speed Steel,HSS M2,flats,Pune,Maharashtra,,/material-location/hss-m2-flats-pune.html,HSS M2 Flats Supplier in Pune,HSS M2 flats supplier in Pune,RFQ-led material + grade + form + destination sourcing page,"Pune tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
119,Medium,india_city,material-location,Aluminium,Aluminium 6061,plates,Bengaluru,Karnataka,,/material-location/aluminium-6061-plates-bengaluru.html,Aluminium 6061 Plates Supplier in Bengaluru,Aluminium 6061 plates supplier in Bengaluru,RFQ-led material + grade + form + destination sourcing page,Bengaluru commercial metals enquiry fit where content depth remains practical.,/materials/aluminium-6061-supplier-india.html,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
120,Medium,india_city,material-location,High Speed Steel,HSS M35,round bars,Coimbatore,Tamil Nadu,,/material-location/hss-m35-round-bars-coimbatore.html,HSS M35 Round Bars Supplier in Coimbatore,HSS M35 round bars supplier in Coimbatore,RFQ-led material + grade + form + destination sourcing page,"Coimbatore tooling, machining and precision component sourcing fit.",Related destination coverage exists,Low,83,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
