priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,status,notes
146,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Bengaluru,Karnataka,,/material-location/inconel-625-fittings-bengaluru.html,Inconel 625 Fittings Supplier in Bengaluru,inconel 625 fittings supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
147,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Chennai,Tamil Nadu,,/material-location/inconel-625-fittings-chennai.html,Inconel 625 Fittings Supplier in Chennai,inconel 625 fittings supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
148,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Pune,Maharashtra,,/material-location/inconel-625-fittings-pune.html,Inconel 625 Fittings Supplier in Pune,inconel 625 fittings supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
149,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Vadodara,Gujarat,,/material-location/inconel-625-fittings-vadodara.html,Inconel 625 Fittings Supplier in Vadodara,inconel 625 fittings supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
150,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Hyderabad,Telangana,,/material-location/inconel-625-fittings-hyderabad.html,Inconel 625 Fittings Supplier in Hyderabad,inconel 625 fittings supplier in hyderabad,material-form-city RFQ support,"pharma, laboratory, chemical, precision fabrication and engineering buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
151,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Ankleshwar,Gujarat,,/material-location/inconel-625-fittings-ankleshwar.html,Inconel 625 Fittings Supplier in Ankleshwar,inconel 625 fittings supplier in ankleshwar,material-form-city RFQ support,"chemical, process equipment and maintenance buyer enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
152,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Delhi NCR,Delhi NCR,,/material-location/inconel-625-fittings-delhi.html,Inconel 625 Fittings Supplier in Delhi NCR,inconel 625 fittings supplier in delhi ncr,material-form-city RFQ support,"trading, fabrication, infrastructure support and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
153,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,Bharuch,Gujarat,,/material-location/duplex-2205-fittings-bharuch.html,Duplex 2205 Fittings Supplier in Bharuch,duplex 2205 fittings supplier in bharuch,material-form-city RFQ support,"chemical, project supply and process equipment enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
154,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,Coimbatore,Tamil Nadu,,/material-location/duplex-2205-fittings-coimbatore.html,Duplex 2205 Fittings Supplier in Coimbatore,duplex 2205 fittings supplier in coimbatore,material-form-city RFQ support,"machine tools, pumps, foundry support and precision engineering enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
155,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Faridabad,Haryana,,/material-location/inconel-625-fittings-faridabad.html,Inconel 625 Fittings Supplier in Faridabad,inconel 625 fittings supplier in faridabad,material-form-city RFQ support,"fabrication, engineering, machinery and industrial components",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
156,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Vapi,Gujarat,,/material-location/inconel-625-fittings-vapi.html,Inconel 625 Fittings Supplier in Vapi,inconel 625 fittings supplier in vapi,material-form-city RFQ support,"chemical, fabrication and process-equipment maintenance enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
157,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,Visakhapatnam,Andhra Pradesh,,/material-location/duplex-2205-fittings-visakhapatnam.html,Duplex 2205 Fittings Supplier in Visakhapatnam,duplex 2205 fittings supplier in visakhapatnam,material-form-city RFQ support,"marine, port, process equipment and heavy engineering enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
158,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Indore and Pithampur,Madhya Pradesh,,/material-location/inconel-625-fittings-indore-pithampur.html,Inconel 625 Fittings Supplier in Indore and Pithampur,inconel 625 fittings supplier in indore and pithampur,material-form-city RFQ support,"automotive, pharma, engineering and fabrication clusters",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
159,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Jamnagar,Gujarat,,/material-location/inconel-625-fittings-jamnagar.html,Inconel 625 Fittings Supplier in Jamnagar,inconel 625 fittings supplier in jamnagar,material-form-city RFQ support,"brass, engineering, petrochemical-support and fabrication enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
160,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Jamshedpur,Jharkhand,,/material-location/inconel-625-fittings-jamshedpur.html,Inconel 625 Fittings Supplier in Jamshedpur,inconel 625 fittings supplier in jamshedpur,material-form-city RFQ support,"steel-linked engineering, fabrication and maintenance enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
161,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,Kakinada,Andhra Pradesh,,/material-location/duplex-2205-fittings-kakinada.html,Duplex 2205 Fittings Supplier in Kakinada,duplex 2205 fittings supplier in kakinada,material-form-city RFQ support,"port, marine, energy and process-industry enquiries",none,low,95,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
162,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Fittings,Mangaluru,Karnataka,,/material-location/inconel-625-fittings-mangaluru.html,Inconel 625 Fittings Supplier in Mangaluru,inconel 625 fittings supplier in mangaluru,material-form-city RFQ support,"marine, chemical and port-linked industrial enquiries",none,low,94,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
163,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Mumbai,Maharashtra,,/material-location/inconel-625-flanges-mumbai.html,Inconel 625 Flanges Supplier in Mumbai,inconel 625 flanges supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
164,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Bengaluru,Karnataka,,/material-location/inconel-625-flanges-bengaluru.html,Inconel 625 Flanges Supplier in Bengaluru,inconel 625 flanges supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
165,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Chennai,Tamil Nadu,,/material-location/inconel-625-flanges-chennai.html,Inconel 625 Flanges Supplier in Chennai,inconel 625 flanges supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
166,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Pune,Maharashtra,,/material-location/inconel-625-flanges-pune.html,Inconel 625 Flanges Supplier in Pune,inconel 625 flanges supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
167,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Vadodara,Gujarat,,/material-location/inconel-625-flanges-vadodara.html,Inconel 625 Flanges Supplier in Vadodara,inconel 625 flanges supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
168,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Hyderabad,Telangana,,/material-location/inconel-625-flanges-hyderabad.html,Inconel 625 Flanges Supplier in Hyderabad,inconel 625 flanges supplier in hyderabad,material-form-city RFQ support,"pharma, laboratory, chemical, precision fabrication and engineering buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
169,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Ankleshwar,Gujarat,,/material-location/inconel-625-flanges-ankleshwar.html,Inconel 625 Flanges Supplier in Ankleshwar,inconel 625 flanges supplier in ankleshwar,material-form-city RFQ support,"chemical, process equipment and maintenance buyer enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
170,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Delhi NCR,Delhi NCR,,/material-location/inconel-625-flanges-delhi.html,Inconel 625 Flanges Supplier in Delhi NCR,inconel 625 flanges supplier in delhi ncr,material-form-city RFQ support,"trading, fabrication, infrastructure support and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
171,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,Bharuch,Gujarat,,/material-location/duplex-2205-flanges-bharuch.html,Duplex 2205 Flanges Supplier in Bharuch,duplex 2205 flanges supplier in bharuch,material-form-city RFQ support,"chemical, project supply and process equipment enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
172,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,Coimbatore,Tamil Nadu,,/material-location/duplex-2205-flanges-coimbatore.html,Duplex 2205 Flanges Supplier in Coimbatore,duplex 2205 flanges supplier in coimbatore,material-form-city RFQ support,"machine tools, pumps, foundry support and precision engineering enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
173,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Faridabad,Haryana,,/material-location/inconel-625-flanges-faridabad.html,Inconel 625 Flanges Supplier in Faridabad,inconel 625 flanges supplier in faridabad,material-form-city RFQ support,"fabrication, engineering, machinery and industrial components",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
174,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Vapi,Gujarat,,/material-location/inconel-625-flanges-vapi.html,Inconel 625 Flanges Supplier in Vapi,inconel 625 flanges supplier in vapi,material-form-city RFQ support,"chemical, fabrication and process-equipment maintenance enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
175,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,Visakhapatnam,Andhra Pradesh,,/material-location/duplex-2205-flanges-visakhapatnam.html,Duplex 2205 Flanges Supplier in Visakhapatnam,duplex 2205 flanges supplier in visakhapatnam,material-form-city RFQ support,"marine, port, process equipment and heavy engineering enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
176,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Indore and Pithampur,Madhya Pradesh,,/material-location/inconel-625-flanges-indore-pithampur.html,Inconel 625 Flanges Supplier in Indore and Pithampur,inconel 625 flanges supplier in indore and pithampur,material-form-city RFQ support,"automotive, pharma, engineering and fabrication clusters",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
177,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Jamnagar,Gujarat,,/material-location/inconel-625-flanges-jamnagar.html,Inconel 625 Flanges Supplier in Jamnagar,inconel 625 flanges supplier in jamnagar,material-form-city RFQ support,"brass, engineering, petrochemical-support and fabrication enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
178,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Jamshedpur,Jharkhand,,/material-location/inconel-625-flanges-jamshedpur.html,Inconel 625 Flanges Supplier in Jamshedpur,inconel 625 flanges supplier in jamshedpur,material-form-city RFQ support,"steel-linked engineering, fabrication and maintenance enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
179,nickel_duplex_india,india_city,material-location,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,Kakinada,Andhra Pradesh,,/material-location/duplex-2205-flanges-kakinada.html,Duplex 2205 Flanges Supplier in Kakinada,duplex 2205 flanges supplier in kakinada,material-form-city RFQ support,"port, marine, energy and process-industry enquiries",none,low,95,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
180,nickel_duplex_india,india_city,material-location,Nickel Alloys,Inconel 625,Flanges,Mangaluru,Karnataka,,/material-location/inconel-625-flanges-mangaluru.html,Inconel 625 Flanges Supplier in Mangaluru,inconel 625 flanges supplier in mangaluru,material-form-city RFQ support,"marine, chemical and port-linked industrial enquiries",none,low,94,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
181,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,UAE,/export-material/inconel-625-fittings-uae.html,Inconel 625 Fittings Supplier for UAE,inconel 625 fittings supplier for uae,export material-country RFQ support,"GCC fabrication, oil and gas, marine, construction and process-industry enquiries",none,low,96,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
182,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Saudi Arabia,/export-material/inconel-625-fittings-saudi-arabia.html,Inconel 625 Fittings Supplier for Saudi Arabia,inconel 625 fittings supplier for saudi arabia,export material-country RFQ support,"GCC process, oil and gas, water, fabrication and project procurement",none,low,96,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
183,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Qatar,/export-material/inconel-625-fittings-qatar.html,Inconel 625 Fittings Supplier for Qatar,inconel 625 fittings supplier for qatar,export material-country RFQ support,"energy, infrastructure, marine and process-industry enquiries",none,low,95,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
184,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Singapore,/export-material/inconel-625-fittings-singapore.html,Inconel 625 Fittings Supplier for Singapore,inconel 625 fittings supplier for singapore,export material-country RFQ support,"marine, process, precision engineering and trading hub enquiries",none,low,95,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
185,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Oman,/export-material/duplex-2205-fittings-oman.html,Duplex 2205 Fittings Supplier for Oman,duplex 2205 fittings supplier for oman,export material-country RFQ support,"marine, energy, desalination and industrial fabrication enquiries",none,low,94,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
186,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Germany,/export-material/inconel-625-fittings-germany.html,Inconel 625 Fittings Supplier for Germany,inconel 625 fittings supplier for germany,export material-country RFQ support,"engineering, machinery, process equipment and technical procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
187,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Kuwait,/export-material/duplex-2205-fittings-kuwait.html,Duplex 2205 Fittings Supplier for Kuwait,duplex 2205 fittings supplier for kuwait,export material-country RFQ support,"oil and gas, process, maintenance and project procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
188,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Malaysia,/export-material/duplex-2205-fittings-malaysia.html,Duplex 2205 Fittings Supplier for Malaysia,duplex 2205 fittings supplier for malaysia,export material-country RFQ support,"process equipment, marine, oil and gas support and fabrication enquiries",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
189,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,United States,/export-material/inconel-625-fittings-united-states.html,Inconel 625 Fittings Supplier for United States,inconel 625 fittings supplier for united states,export material-country RFQ support,"engineering, maintenance and specialized metal procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
190,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Australia,/export-material/inconel-625-fittings-australia.html,Inconel 625 Fittings Supplier for Australia,inconel 625 fittings supplier for australia,export material-country RFQ support,"mining support, marine, process and fabrication enquiries",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
191,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Netherlands,/export-material/duplex-2205-fittings-netherlands.html,Duplex 2205 Fittings Supplier for Netherlands,duplex 2205 fittings supplier for netherlands,export material-country RFQ support,"marine, process, trading and project procurement enquiries",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
192,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Thailand,/export-material/duplex-2205-fittings-thailand.html,Duplex 2205 Fittings Supplier for Thailand,duplex 2205 fittings supplier for thailand,export material-country RFQ support,"automotive, process, fabrication and engineering enquiries",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
193,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,United Kingdom,/export-material/inconel-625-fittings-united-kingdom.html,Inconel 625 Fittings Supplier for United Kingdom,inconel 625 fittings supplier for united kingdom,export material-country RFQ support,"engineering, process, marine and maintenance procurement",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
194,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Vietnam,/export-material/inconel-625-fittings-vietnam.html,Inconel 625 Fittings Supplier for Vietnam,inconel 625 fittings supplier for vietnam,export material-country RFQ support,"industrial fabrication, process equipment and export procurement",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
195,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Bahrain,/export-material/duplex-2205-fittings-bahrain.html,Duplex 2205 Fittings Supplier for Bahrain,duplex 2205 fittings supplier for bahrain,export material-country RFQ support,"GCC fabrication, process and industrial maintenance enquiries",none,low,91,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
196,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Indonesia,/export-material/inconel-625-fittings-indonesia.html,Inconel 625 Fittings Supplier for Indonesia,inconel 625 fittings supplier for indonesia,export material-country RFQ support,"marine, process, palm-oil equipment and fabrication enquiries",none,low,91,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
197,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Canada,/export-material/duplex-2205-fittings-canada.html,Duplex 2205 Fittings Supplier for Canada,duplex 2205 fittings supplier for canada,export material-country RFQ support,"engineering, mining support and process-industry procurement",none,low,90,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
198,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Japan,/export-material/inconel-625-fittings-japan.html,Inconel 625 Fittings Supplier for Japan,inconel 625 fittings supplier for japan,export material-country RFQ support,"precision engineering, process and specialized metal procurement",none,low,90,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
199,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,South Africa,/export-material/duplex-2205-fittings-south-africa.html,Duplex 2205 Fittings Supplier for South Africa,duplex 2205 fittings supplier for south africa,export material-country RFQ support,"mining support, process, marine and fabrication enquiries",none,low,90,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
200,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,South Korea,/export-material/duplex-2205-fittings-south-korea.html,Duplex 2205 Fittings Supplier for South Korea,duplex 2205 fittings supplier for south korea,export material-country RFQ support,"shipbuilding, process, engineering and specialized metal enquiries",none,low,90,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
201,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Italy,/export-material/duplex-2205-fittings-italy.html,Duplex 2205 Fittings Supplier for Italy,duplex 2205 fittings supplier for italy,export material-country RFQ support,"machinery, process and fabrication procurement",none,low,89,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
202,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Mexico,/export-material/inconel-625-fittings-mexico.html,Inconel 625 Fittings Supplier for Mexico,inconel 625 fittings supplier for mexico,export material-country RFQ support,"automotive, fabrication and industrial maintenance enquiries",none,low,89,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
203,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Philippines,/export-material/duplex-2205-fittings-philippines.html,Duplex 2205 Fittings Supplier for Philippines,duplex 2205 fittings supplier for philippines,export material-country RFQ support,"marine, infrastructure and fabrication enquiries",none,low,89,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
204,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Fittings,,,Spain,/export-material/inconel-625-fittings-spain.html,Inconel 625 Fittings Supplier for Spain,inconel 625 fittings supplier for spain,export material-country RFQ support,"marine, process and fabrication enquiries",none,low,89,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
205,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Fittings,,,Egypt,/export-material/duplex-2205-fittings-egypt.html,Duplex 2205 Fittings Supplier for Egypt,duplex 2205 fittings supplier for egypt,export material-country RFQ support,"process, construction and fabrication enquiries",none,low,88,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
206,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,UAE,/export-material/inconel-625-flanges-uae.html,Inconel 625 Flanges Supplier for UAE,inconel 625 flanges supplier for uae,export material-country RFQ support,"GCC fabrication, oil and gas, marine, construction and process-industry enquiries",none,low,96,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
207,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,Saudi Arabia,/export-material/inconel-625-flanges-saudi-arabia.html,Inconel 625 Flanges Supplier for Saudi Arabia,inconel 625 flanges supplier for saudi arabia,export material-country RFQ support,"GCC process, oil and gas, water, fabrication and project procurement",none,low,96,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
208,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,Qatar,/export-material/inconel-625-flanges-qatar.html,Inconel 625 Flanges Supplier for Qatar,inconel 625 flanges supplier for qatar,export material-country RFQ support,"energy, infrastructure, marine and process-industry enquiries",none,low,95,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
209,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,Singapore,/export-material/inconel-625-flanges-singapore.html,Inconel 625 Flanges Supplier for Singapore,inconel 625 flanges supplier for singapore,export material-country RFQ support,"marine, process, precision engineering and trading hub enquiries",none,low,95,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
210,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,,,Oman,/export-material/duplex-2205-flanges-oman.html,Duplex 2205 Flanges Supplier for Oman,duplex 2205 flanges supplier for oman,export material-country RFQ support,"marine, energy, desalination and industrial fabrication enquiries",none,low,94,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
211,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,Germany,/export-material/inconel-625-flanges-germany.html,Inconel 625 Flanges Supplier for Germany,inconel 625 flanges supplier for germany,export material-country RFQ support,"engineering, machinery, process equipment and technical procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
212,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,,,Kuwait,/export-material/duplex-2205-flanges-kuwait.html,Duplex 2205 Flanges Supplier for Kuwait,duplex 2205 flanges supplier for kuwait,export material-country RFQ support,"oil and gas, process, maintenance and project procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
213,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,,,Malaysia,/export-material/duplex-2205-flanges-malaysia.html,Duplex 2205 Flanges Supplier for Malaysia,duplex 2205 flanges supplier for malaysia,export material-country RFQ support,"process equipment, marine, oil and gas support and fabrication enquiries",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
214,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,United States,/export-material/inconel-625-flanges-united-states.html,Inconel 625 Flanges Supplier for United States,inconel 625 flanges supplier for united states,export material-country RFQ support,"engineering, maintenance and specialized metal procurement",none,low,93,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
215,nickel_duplex_export,export_country,export-material,Nickel Alloys,Inconel 625,Flanges,,,Australia,/export-material/inconel-625-flanges-australia.html,Inconel 625 Flanges Supplier for Australia,inconel 625 flanges supplier for australia,export material-country RFQ support,"mining support, marine, process and fabrication enquiries",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
216,nickel_duplex_export,export_country,export-material,Duplex and Super Duplex Stainless Steel,Duplex 2205,Flanges,,,Netherlands,/export-material/duplex-2205-flanges-netherlands.html,Duplex 2205 Flanges Supplier for Netherlands,duplex 2205 flanges supplier for netherlands,export material-country RFQ support,"marine, process, trading and project procurement enquiries",none,low,92,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
217,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Pune,Maharashtra,,/material-location/hss-m2-round-bars-pune.html,HSS M2 Round Bars Supplier in Pune,hss m2 round bars supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,87,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
